,NO.1_8.775 m,NO.2_11.938 m,NO.3_25.605 m,NO.4_41.577 m,NO.5_50.306 m,NO.6_67.395 m,NO.7_86.914 m,NO.8_117.442 m,NO.9_122.818 m,NO.10_156.59 m,NO.11_161.876 m,NO.12_172.889 m,NO.13_177.694 m,NO.14_185.386 m,NO.15_198.421 m,NO.16_220.335 m,NO.17_228.408 m,NO.18_232.852 m,NO.19_242.032 m,NO.20_252.265 m,NO.21_272.728 m,NO.22_283.383 m,NO.23_288.7 m,NO.24_294.698 m,NO.25_296.425 m
2009-04-17 00:00:00,8.775,11.935,25.605,41.572,50.296,67.375,86.882,117.385,122.759,156.506,161.788,172.801,177.6,185.271,198.298,220.208,228.276,232.698,241.866,252.071,272.467,283.092,288.4,294.391,
2009-05-06 00:00:00,8.775,11.936,25.605,41.574,50.296,67.374,86.88,117.385,122.757,156.505,161.789,172.804,177.604,185.275,198.298,220.21,228.276,232.698,241.868,252.072,272.468,283.093,288.402,294.392,
2009-06-10 00:00:00,8.774,11.934,25.603,41.57,50.295,67.372,86.877,117.38,122.752,156.499,161.781,172.795,177.596,185.264,198.288,220.2,228.263,232.691,241.858,252.059,272.458,283.081,288.389,294.377,
2009-07-15 00:00:00,8.775,11.936,25.604,41.571,50.296,67.375,86.88,117.384,122.757,156.505,161.787,172.802,177.601,185.272,198.297,220.207,228.274,232.698,241.865,252.07,272.465,283.089,288.4,294.388,
2009-08-12 00:00:00,8.776,11.937,25.605,41.573,50.3,67.381,86.888,117.388,122.763,156.509,161.788,172.802,177.601,185.272,198.298,220.207,228.273,232.698,241.865,252.07,272.464,283.089,288.4,294.388,
2009-09-15 00:00:00,8.776,11.937,25.606,41.574,50.301,67.379,86.886,117.386,122.76,156.506,161.788,172.804,177.603,185.271,198.3,220.207,228.275,232.698,241.865,252.07,272.463,283.087,288.397,294.385,
2009-10-14 00:00:00,8.775,11.936,25.604,41.572,50.299,67.377,86.884,117.384,122.757,156.504,161.785,172.8,177.598,185.269,198.298,220.205,228.271,232.696,241.862,252.067,272.459,283.083,288.391,294.379,
2009-11-11 00:00:00,8.773,11.937,25.605,41.57,50.297,67.374,86.879,117.38,122.755,156.5,161.782,172.797,177.596,185.265,198.296,220.2,228.266,232.689,241.856,252.06,272.452,283.075,288.382,294.371,
2009-12-09 00:00:00,8.775,11.935,25.605,41.569,50.297,67.375,86.88,117.381,122.757,156.503,161.784,172.8,177.597,185.268,198.297,220.204,228.267,232.693,241.861,252.063,272.455,283.076,288.385,294.375,
2010-01-19 00:00:00,8.773,11.934,25.603,41.57,50.296,67.373,86.877,117.381,122.757,156.503,161.784,172.798,177.596,185.268,198.296,220.203,228.266,232.692,241.86,252.062,272.454,283.075,288.384,294.374,
2010-02-10 00:00:00,8.773,11.933,25.602,41.568,50.295,67.371,86.877,117.378,122.751,156.496,161.777,172.789,177.588,185.259,198.286,220.193,228.257,232.684,241.849,252.052,272.441,283.063,288.371,294.363,
2010-03-16 00:00:00,8.772,11.934,25.603,41.568,50.294,67.37,86.877,117.378,122.748,156.493,161.775,172.787,177.586,185.256,198.282,220.189,228.255,232.679,241.845,252.048,272.437,283.059,288.366,294.358,
2010-04-14 00:00:00,8.772,11.934,25.604,41.567,50.292,67.368,86.874,117.371,122.743,156.486,161.77,172.78,177.578,185.248,198.273,220.183,228.246,232.668,241.836,252.038,272.427,283.048,288.356,294.347,
2010-05-12 00:00:00,8.771,11.934,25.602,41.566,50.29,67.366,86.87,117.366,122.739,156.481,161.764,172.776,177.575,185.241,198.267,220.176,228.24,232.662,241.829,252.033,272.42,283.043,288.348,294.338,
2010-06-09 00:00:00,8.771,11.934,25.601,41.566,50.289,67.365,86.868,117.365,122.738,156.48,161.763,172.775,177.574,185.242,198.267,220.176,228.241,232.663,241.828,252.032,272.417,283.041,288.345,294.335,
2010-07-14 00:00:00,8.773,11.935,25.603,41.569,50.293,67.37,86.873,117.373,122.746,156.49,161.771,172.785,177.584,185.253,198.277,220.187,228.252,232.674,241.838,252.042,272.427,283.051,288.355,294.344,
2010-08-17 00:00:00,8.775,11.935,25.605,41.571,50.295,67.371,86.874,117.373,122.747,156.491,161.772,172.785,177.583,185.253,198.277,220.185,228.251,232.673,241.837,252.041,272.426,283.049,288.353,294.343,
2010-09-14 00:00:00,8.774,11.935,25.606,41.57,50.296,67.373,86.877,117.375,122.75,156.495,161.776,172.79,177.588,185.257,198.282,220.189,228.257,232.679,241.842,252.046,272.43,283.054,288.356,294.346,
2010-10-12 00:00:00,8.775,11.936,25.605,41.571,50.296,67.373,86.878,117.374,122.748,156.493,161.773,172.786,177.584,185.253,198.277,220.185,228.253,232.675,241.838,252.041,272.425,283.048,288.351,294.341,
2010-11-16 00:00:00,8.774,11.935,25.604,41.569,50.294,67.37,86.875,117.372,122.746,156.489,161.769,172.783,177.582,185.249,198.273,220.18,228.248,232.67,241.834,252.036,272.42,283.043,288.347,294.337,
2010-12-08 00:00:00,8.773,11.934,25.604,41.568,50.294,67.37,86.875,117.373,122.747,156.491,161.771,172.785,177.574,185.252,198.275,220.183,228.25,232.673,241.837,252.039,272.424,283.045,288.35,294.34,
2011-01-13 00:00:00,8.771,11.935,25.603,41.566,50.293,67.37,86.876,117.374,122.746,156.49,161.77,172.783,177.583,185.25,198.275,220.184,228.249,232.673,241.837,252.037,272.422,283.043,288.348,294.34,
2011-02-15 00:00:00,8.77,11.934,25.601,41.565,50.291,67.366,86.87,117.367,122.739,156.48,161.76,172.772,177.572,185.242,198.264,220.173,228.237,232.66,241.825,252.025,272.41,283.03,288.335,294.326,
2011-03-21 00:00:00,8.769,11.934,25.599,41.565,50.289,67.363,86.867,117.363,122.732,156.473,161.752,172.765,177.563,185.234,198.255,220.165,228.228,232.652,241.817,252.016,272.4,283.02,288.325,294.315,
2011-04-26 00:00:00,8.77,11.933,25.6,41.565,50.287,67.364,86.866,117.361,122.728,156.468,161.747,172.76,177.558,185.23,198.25,220.158,228.223,232.646,241.81,252.008,272.39,283.008,288.315,294.304,
2011-05-19 00:00:00,8.771,11.934,25.6,41.565,50.288,67.362,86.863,117.358,122.725,156.465,161.744,172.758,177.555,185.226,198.246,220.154,228.219,232.64,241.804,252.001,272.383,283.001,288.308,294.297,
2011-06-28 00:00:00,8.771,11.934,25.601,41.566,50.287,67.362,86.864,117.357,122.726,156.465,161.744,172.757,177.554,185.226,198.246,220.155,228.218,232.639,241.803,252,272.382,282.999,288.306,294.295,
2011-07-26 00:00:00,8.773,11.936,25.604,41.568,50.289,67.365,86.867,117.361,122.729,156.47,161.749,172.762,177.56,185.232,198.251,220.159,228.222,232.644,241.808,252.004,272.386,283.003,288.31,294.298,
2011-08-24 00:00:00,8.774,11.934,25.604,41.57,50.289,67.363,86.866,117.358,122.73,156.468,161.751,172.764,177.562,185.23,198.249,220.156,228.22,232.64,241.803,252.001,272.382,283,288.308,294.295,
2011-09-20 00:00:00,8.773,11.934,25.603,41.568,50.289,67.363,86.865,117.36,122.729,156.47,161.75,172.763,177.562,185.228,198.249,220.158,228.222,232.64,241.804,252.002,272.38,283.001,288.305,294.292,
2011-10-18 00:00:00,8.773,11.932,25.601,41.565,50.287,67.358,86.862,117.356,122.726,156.464,161.743,172.76,177.558,185.221,198.244,220.151,228.215,232.632,241.797,251.996,272.375,282.995,288.298,294.285,
2011-11-18 00:00:00,8.774,11.931,25.601,41.565,50.287,67.357,86.864,117.354,122.728,156.465,161.747,172.761,177.56,185.224,198.247,220.153,228.218,232.636,241.8,251.998,272.377,282.997,288.3,294.286,
2011-12-20 00:00:00,8.773,11.933,25.6,41.567,50.288,67.36,86.866,117.358,122.733,156.471,161.755,172.768,177.566,185.231,198.254,220.161,228.226,232.645,241.808,252.005,272.387,283.003,288.306,294.292,
2012-01-12 00:00:00,8.772,11.933,25.598,41.565,50.286,67.36,86.865,117.358,122.732,156.472,161.754,172.766,177.564,185.229,198.252,220.159,228.224,232.643,241.807,252.004,272.385,283.001,288.304,294.29,
2012-02-21 00:00:00,8.771,11.933,25.597,41.563,50.285,67.359,86.863,117.354,122.727,156.465,161.744,172.756,177.547,185.218,198.241,220.147,228.213,232.632,241.797,251.993,272.373,282.99,288.292,294.278,
2014-04-23 00:00:00,8.771,11.933,25.597,41.562,50.28,,86.855,117.338,122.709,156.438,,172.729,,185.188,198.21,220.117,,232.597,241.76,251.953,272.313,282.934,288.231,294.223,
2014-05-07 00:00:00,8.771,11.934,25.597,41.561,50.282,,86.852,117.336,122.71,156.439,,172.731,,185.188,198.211,220.113,228.18,232.6,241.757,251.949,272.315,282.931,288.235,294.222,
2014-06-17 00:00:00,8.774,11.935,25.6,41.564,50.285,67.356,86.855,117.345,122.719,156.45,161.734,172.743,177.538,185.203,198.222,220.131,228.19,232.61,241.773,251.962,272.329,282.944,288.251,294.228,
2014-07-15 00:00:00,8.774,11.937,25.6,41.564,50.285,67.357,86.856,117.344,122.716,156.447,161.73,172.74,177.537,185.202,198.22,220.126,228.191,232.607,241.77,251.959,272.325,282.942,288.24,294.225,
2014-08-13 00:00:00,8.773,11.935,25.6,41.564,50.286,67.356,86.857,117.345,122.717,156.449,161.732,172.741,177.539,185.202,198.221,220.127,228.192,232.61,241.77,251.962,272.325,282.941,288.239,294.224,
2014-09-01 00:00:00,8.774,11.939,25.602,41.565,50.288,67.358,86.857,117.345,122.718,156.449,161.731,172.742,177.54,185.203,198.222,220.127,228.192,232.611,241.77,251.963,272.326,282.942,288.241,294.225,
2014-10-15 00:00:00,8.774,11.939,25.601,41.564,50.286,67.356,86.854,117.341,122.713,156.443,161.725,172.735,177.533,185.194,198.212,220.116,228.182,232.6,241.756,251.95,272.314,282.927,288.234,294.221,
2014-11-21 00:00:00,8.773,11.939,25.599,41.561,50.283,67.352,86.854,117.339,122.711,156.441,161.722,172.732,177.53,185.192,198.21,220.115,228.18,232.595,241.753,251.95,272.311,282.928,288.231,294.22,
2014-12-04 00:00:00,8.77,11.935,25.596,41.56,50.283,67.354,86.854,117.341,122.712,156.442,161.723,172.733,177.532,185.193,198.213,220.119,228.181,232.598,241.756,251.953,272.314,282.925,288.233,294.215,
2015-01-12 00:00:00,8.769,11.931,25.596,41.56,50.283,67.353,86.853,117.341,122.713,156.443,161.724,172.735,177.533,185.195,198.215,220.119,228.182,232.599,241.757,251.953,272.316,282.928,288.236,294.217,
2015-02-09 00:00:00,8.768,11.93,25.596,41.558,50.28,67.348,86.848,117.334,122.704,156.433,161.714,172.725,177.522,185.183,198.203,220.108,228.169,232.587,241.744,251.938,272.3,282.917,288.221,294.205,
2015-03-19 00:00:00,8.769,11.931,25.595,41.557,50.278,67.347,86.845,117.328,122.699,156.426,161.708,172.716,177.512,185.175,198.193,220.097,228.162,232.578,241.736,251.926,272.292,282.905,288.21,294.195,
2015-04-24 00:00:00,8.769,11.93,25.596,41.556,50.279,67.345,86.842,117.323,122.697,156.421,161.702,172.713,177.511,185.172,198.188,220.095,228.158,232.574,241.733,251.923,272.285,282.898,288.202,294.187,
2015-05-15 00:00:00,8.769,11.931,25.595,41.556,50.277,67.343,86.84,117.322,122.695,156.419,161.698,172.709,177.506,185.167,198.185,220.09,228.151,232.569,241.727,251.919,272.28,282.892,288.197,294.178,
2015-06-12 00:00:00,8.771,11.936,25.596,41.558,50.278,67.347,86.846,117.327,122.699,156.425,161.706,172.715,177.509,185.173,198.191,220.096,228.159,232.577,241.734,251.926,272.287,282.9,288.206,294.184,
2015-07-10 00:00:00,8.771,11.935,25.596,41.558,50.279,67.347,86.844,117.326,122.699,156.422,161.707,172.717,177.513,185.175,198.195,220.098,228.159,232.581,241.735,251.929,272.29,282.902,288.205,294.187,
2015-08-19 00:00:00,8.771,11.935,25.597,41.559,50.278,67.348,86.848,117.329,122.701,156.426,161.709,172.719,177.516,185.178,198.195,220.101,228.163,232.58,241.737,251.928,272.284,282.903,288.207,294.19,
2015-09-22 00:00:00,8.772,11.936,25.597,41.56,50.279,67.35,86.848,117.33,122.702,156.429,161.71,172.72,177.517,185.18,198.196,220.102,228.165,232.581,241.737,251.93,272.286,282.905,288.207,294.192,
2015-10-13 00:00:00,8.772,11.935,25.598,41.56,50.281,67.349,86.846,117.332,122.704,156.432,161.714,172.722,177.52,185.182,198.198,220.103,228.167,232.585,241.74,251.934,272.291,282.905,288.206,294.194,
2015-11-10 00:00:00,8.773,11.935,25.598,41.56,50.281,67.35,86.847,117.331,122.703,156.43,161.712,172.721,177.518,185.179,198.196,220.1,228.165,232.582,241.738,251.93,272.287,282.9,288.205,294.191,
